Year,Pop
-10000,2431214
-9000,3564407
-8000,5136461
-7000,7561695
-6000,11461003
-5000,17920172
-4000,28370429
-3000,44819892
-2000,72108132
-1000,115065665
1,188239090
100,195062192
200,202309552
300,205316554
400,208909833
500,210429836
600,212642769
700,225835011
800,240487640
900,268747447
1000,295040195
1100,352606918
1200,393081040
1300,392403532
1400,389774827
1500,461367657
1600,553956116
1700,603167544
1750,811562143
1800,989818305
1850,1262682074
1900,1650000000
1901,1659947572
1902,1669996608
1903,1680114897
1904,1690269397
1905,1700426220
1906,1710550627
1907,1720607035
1908,1730559024
1909,1740369356
1910,1750000000
1911,1759443033
1912,1768814621
1913,1778264825
1914,1787947089
1915,1798018386
1916,1808639504
1917,1819975472
1918,1832196157
1919,1845477011
1920,1860000000
1921,1875909155
1922,1893171642
1923,1911708727
1924,1931439861
1925,1952282002
1926,1974148984
1927,1996950908
1928,2020593592
1929,2044978045
1930,2070000000
1931,2095524322
1932,2121306518
1933,2147063356
1934,2172497229
1935,2197296392
1936,2221135654
1937,2243677560
1938,2264574084
1939,2283468864
1940,2300000000
1941,2314055062
1942,2326540535
1943,2338643871
1944,2351580095
1945,2366593074
1946,2384963558
1947,2408024366
1948,2437183278
1949,2473954492
1950,2536431000
1951,2584034000
1952,2630862000
1953,2677609000
1954,2724847000
1955,2773020000
1956,2822443000
1957,2873306000
1958,2925687000
1959,2979576000
1960,3034950000
1961,3091844000
1962,3150421000
1963,3211001000
1964,3273978000
1965,3339584000
1966,3407923000
1967,3478770000
1968,3551599000
1969,3625681000
1970,3700437000
1971,3775760000
1972,3851650000
1973,3927780000
1974,4003794000
1975,4079481000
1976,4154667000
1977,4229506000
1978,4304534000
1979,4380506000
1980,4458004000
1981,4536997000
1982,4617387000
1983,4699569000
1984,4784012000
1985,4870922000
1986,4960568000
1987,5052522000
1988,5145426000
1989,5237442000
1990,5327231000
1991,5414289000
1992,5498920000
1993,5581598000
1994,5663150000
1995,5744213000
1996,5824892000
1997,5905046000
1998,5984794000
1999,6064239000
2000,6143494000
2001,6222627000
2002,6301773000
2003,6381185000
2004,6461159000
2005,6541907000
2006,6623518000
2007,6705947000
2008,6789089000
2009,6872767000
2010,6956824000
2011,7041194000
2012,7125828000
2013,7210582000
2014,7295291000
2015,7379797000
2016,7464022000
2017,7547859000
2018,7631091000
2019,7713468000
